"the_geom","segmentid","bikeid","prevbikeid","status","boro","street","fromstreet","tostreet","onoffst","facilitycl","allclasses","bikedir","lanecount","ft_facilit","tf_facilit","ft2facilit","tf2facilit","instdate","ret_date","grnwy","gwsystem","gwsys2","spur","gwyjuris"
"MULTILINESTRING ((-73.94580189612304 40.850463210786195, -73.94572259341241 40.85058484524752, -73.94557688836593 40.85074714516835, -73.9452927307491 40.85105968399757))","238188.0","367.0","NA","Current","1","FT WASHINGTON PARK BICYCLE TRAIL","W 145 ST","W 181 ST","OFF","I","I","2","2","Protected","Protected",,,"1999-07-01T00:00:00.000",,"Greenway","Manhattan Waterfront",,"Main Alignment","DPR"
"MULTILINESTRING ((-74.01966043346746 40.62957688081279, -74.01982886071443 40.62916817809008))","17297.0","951.0","NA","Current","3","6 AVENUE","67 ST","FT HAMILTON PKWY","ON","III","III","2","2","Shared","Shared",,,"2015-06-29T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.02209239698917 40.6236280913371, -74.02238878720145 40.62289601015302))","17253.0","951.0","NA","Current","3","6 AVENUE","67 ST","FT HAMILTON PKWY","ON","III","III","2","2","Shared","Shared",,,"2015-06-29T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.85882008495487 40.756534107030944, -73.85794846960152 40.75672527559477))","153160.0","7115.0","1623","Current","4","34 AV","114 ST","JUNCTION BL","ON","II","II","L","1",,"Conventional",,,"1997-04-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.10506738760145 40.615745796877846, -74.10512204988622 40.61579560877764, -74.10514713884707 40.61581871032259, -74.10526907028257 40.61589427855165, -74.10530846010126 40.615918565558054))","123905.0","4176.0",,"Current","5","CLOVE LAKES PARK PATH","CLOVE LAKES PARK","CLOVE LAKES PARK","OFF","I","I","2","2","Sidewalk","Sidewalk",,,"2018-05-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.11448649583556 40.61894901493535, -74.11455032230182 40.6189130034414, -74.11459411122873 40.61888846471817, -74.11465835905778 40.61886390647464, -74.11474599302673 40.6188393248541, -74.11481318569614 40.618823669740316, -74.1149066805202 40.618812436874855))","124027.0","4176.0",,"Current","5","CLOVE LAKES PARK PATH","CLOVE LAKES PARK","CLOVE LAKES PARK","OFF","I","I","2","2","Sidewalk","Sidewalk",,,"2018-05-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.94614319560627 40.81179460928001, -73.94607124246706 40.811888911777075))","9007644.0","73.0","NA","Current","1","ADAM C POWELL BLVD","W 118 ST","W 133 ST","ON","III","III","R","1","Wide Parking Lane",,,,"2013-05-31T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.94609101297135 40.81217999516455, -73.94565988306879 40.81278651108733))","134014.0","74.0","NA","Current","1","ADAM C POWELL BLVD","W 118 ST","W 133 ST","ON","III","III","L","1",,"Wide Parking Lane",,,"2013-05-31T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.96495778319371 40.711678102806665, -73.96337906654956 40.71121349714083))","30452.0","1421.0","NA","Retired","3","S 5 ST","S 5 PL","KENT AV","ON","II","II","R","1","Conventional",,,,"2008-11-24T00:00:00.000","2017-10-03T00:00:00.000",,,,,
"MULTILINESTRING ((-73.99738547066738 40.596183374293304, -73.99674706896617 40.595643125464115))","18708.0","6024.0","1107","Current","3","CROPSEY AV","23 AV","BAY PKWY","ON","III","III","2","2","Wide Parking Lane","Wide Parking Lane",,,"2018-07-19T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.98933656558268 40.714133375777884, -73.98870191271875 40.71418554124521))","24367.0","315.0","NA","Retired","1","E BROADWAY","GRAND ST","CATHERINE ST","ON","II","II","2","2","Conventional","Conventional",,,"2008-08-29T00:00:00.000","2020-03-05T00:00:00.000",,,,,
"MULTILINESTRING ((-73.95505502410761 40.79331733286718, -73.95488941434151 40.79406358110729))","300148.0","2217.0","NA","Current","1","EAST DR","TERRACE DR","CENTRAL PARK N","ON","I","I","R","1","Protected",,,,"1979-05-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.0160363166296 40.67467939105828, -74.01723052163253 40.67366778698265))","17990.0","6031.0","NA","Current","3","VAN BRUNT ST","WATERFRONT","SUMMIT ST","ON","III","III","2","2","Shared","Shared",,,"2019-09-20T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00693633859052 40.719126655252936, -74.00680843778001 40.71977749823331))","31789.0","506.0","NA","Retired","1","VARICK ST","BEACH ST","W BROADWAY","ON","II","II","L","1",,"Conventional",,,"2013-11-26T00:00:00.000","2023-09-13T00:00:00.000",,,,,
"MULTILINESTRING ((-74.01542782102348 40.69279170832488, -74.01552236448406 40.69246336589095))","18099.0","353.0","NA","Current","1","FERRY LINE ROAD","ANDES RD","CARDER RD","OFF","I","I","2","2","Protected","Protected",,,"2013-10-25T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.73526481517266 40.73345427320051, -73.73550810262495 40.73297375971776))","133402.0","8023.0","NA","Current","4","WINCHESTER BLVD","BRADDOCK AV","UNION TP","ON","II","II","2","2","Conventional","Conventional",,,"2002-06-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.88200648933325 40.65306194573073, -73.8814199803289 40.65334717596481))","151085.0","1506.0","NA","Current","3","VANDALIA AVENUE","VAN SICLEN AVE","BETHEL LOOP","ON","III","III","R","1","Shared",,,,"2014-09-10T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.88409736020736 40.75378285563038, -73.8831679843441 40.753878090833645))","153542.0","1622.0","NA","Retired","4","34 AV","59 ST","113 ST","ON","II","II","R","1","Conventional",,,,"1997-04-01T00:00:00.000","2023-10-12T00:00:00.000",,,,,
"MULTILINESTRING ((-73.86646385441793 40.876900256190154, -73.8662227095105 40.877315637846074))","137234.0","4514.0",,"Current","2","WHITE PLAINS RD","WHITE PLAINS RD","E 214 ST","ON","I","I","R","1","Protected",,,,"2022-09-30T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.81070500963384 40.73227601064769, -73.81025210613261 40.73224975379352, -73.80980028759366 40.73220847643687, -73.80935082083903 40.73215222661319, -73.80890500789646 40.732081156895035, -73.80846410328341 40.73199547022448, -73.80802932565949 40.73189548296672))","144832.0","1875.0","NA","Current","4","JEWEL AV","PARK DR E","164 ST","ON","II","II","R","1","Conventional Buffered",,,,"2007-10-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.86395707982196 40.56934363909571, -73.86406802418581 40.56929797869162))","133267.0","1959.0","NA","Current","4","ROCKAWAY BEACH BLVD","JACOB RIIS BOARDWALK","BEACH 126 ST","ON","II","II","L","1",,"Curbside Buffered",,,"2008-11-14T00:00:00.000",,"Greenway","Jamaica Bay",,"Main Alignment","NYCDOT"
"MULTILINESTRING ((-73.78006155549492 40.74233706753035, -73.77999952571082 40.74228229531681))","141008.0","1824.0","NA","Current","4","CUNNINGHAM PARK GREENWAY","FRANCIS LEWIS BLVD","HOR HARDING EXWY SR S","OFF","I","I","2","2","Protected","Protected",,,"1986-01-01T00:00:00.000",,"Greenway","Central Queens",,"Main Alignment","DPR"
"MULTILINESTRING ((-73.80442872641336 40.72149179012594, -73.80442099554277 40.72143599028852))","149930.0","1588.0","NA","Current","4","164 ST","GRND CNTRL PKWY SR N","HOR HARDING EXWY SR N","ON","II","II","L","1",,"Conventional",,,"2007-08-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.80491143514948 40.72434217895886, -73.80483857070928 40.723622321683244))","156260.0","1587.0","NA","Current","4","164 ST","GRND CNTRL PKWY SR N","HOR HARDING EXWY SR N","ON","II","II","R","1","Conventional",,,,"2007-08-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.81062836171897 40.73356761793377, -73.81065637665151 40.733102289341346))","233458.0","2542.0","NA","Current","4","PARSONS BLVD","71 AVE","65 AVE","ON","II","II","L","1",,"Conventional",,,"2017-12-15T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.76613580834318 40.734169546804324, -73.76618334717507 40.73417430978707))","233830.0","6588.0","NA","Current","4","CUNNINGHAM PARK GREENWAY","HOLLIS HILLS TER","FRANCIS LEWIS BLVD","OFF","I","I","2","2","Protected","Protected",,,"1986-01-01T00:00:00.000",,"Greenway","Central Queens",,"Main Alignment","DPR"
"MULTILINESTRING ((-73.77113147607045 40.7333685096881, -73.77097071429331 40.73343220470154))","346950.0","6588.0","NA","Current","4","CUNNINGHAM PARK GREENWAY","HOLLIS HILLS TER","FRANCIS LEWIS BLVD","OFF","I","I","2","2","Protected","Protected",,,"1986-01-01T00:00:00.000",,"Greenway","Central Queens",,"Main Alignment","DPR"
"MULTILINESTRING ((-73.79753138301359 40.58694186705613, -73.79850282574829 40.58676237004489))","57510.0","1777.0","NA","Retired","4","BOARDWALK","BEACH 126 St","BEACH 39 ST","OFF","I","I","2","2","Boardwalk","Boardwalk",,,"1970-01-01T00:00:00.000","2014-01-01T00:00:00.000",,,,,
"MULTILINESTRING ((-73.87100202603276 40.75524441469929, -73.87008951771678 40.755341462462006))","153372.0","1623.0","NA","Retired","4","34 AV","59 ST","113 ST","ON","II","II","L","1",,"Conventional",,,"1997-04-01T00:00:00.000","2023-10-12T00:00:00.000",,,,,
"MULTILINESTRING ((-73.84775740198101 40.739299088790986, -73.84767033741757 40.73919523506106))","82497.0","7107.0","NA","Current","4","COLONIAL AVENUE PEDESTRIAN OVPS","PEDESTRIAN AND BIKE PATH LINK","62 AV","OFF","I","I","2","2","Sidewalk","Sidewalk",,,"2023-10-23T00:00:00.000",,"Greenway","Central Queens",,"Hall of Science","NYCDOT"
"MULTILINESTRING ((-74.09027760284602 40.57078101614056, -74.09021603962327 40.570744989466036))","151923.0","8035.0","NA","Current","5","MIDLAND AV","FR CAPODANNO BLVD","HYLAN BLVD","ON","II","II","2","2","Conventional","Conventional",,,"1980-07-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.11892271848144 40.623688132527796, -74.11900350613168 40.623539697110026, -74.1191543432398 40.62343749383952))","122778.0","4176.0",,"Current","5","CLOVE LAKES PARK PATH","CLOVE LAKES PARK","CLOVE LAKES PARK","OFF","I","I","2","2","Sidewalk","Sidewalk",,,"2018-05-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.857156759475 40.831102268113575, -73.85513316372517 40.8313874793535))","86298.0","7264.0","NA","Current","2","GLEASON AVENUE","EAST 177 STREET","METCALF  AV","ON","II","II","L","1",,"Conventional",,,"2023-12-15T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.91629395343953 40.76094527496479, -73.91549262581877 40.760567738554144))","67993.0","2291.0","NA","Current","4","31 AVE","32 ST","49 ST","ON","III","III","2","2","Shared","Shared",,,"2016-10-14T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.84695616846575 40.74367255269806, -73.84689996113076 40.743689371528234))","194918.0","2017.0","NA","Current","4","ZOO BR","UNITED NATIONS AV S","111 ST","OFF","I","I","2","2","Protected","Protected",,,"1940-01-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.99457818734138 40.62921569563449, -73.9951608406149 40.628655301267344))","20084.0","2382.0","NA","Current","3","14 AVE","60 ST","36 ST","ON","III","III","L","1",,"Wide Parking Lane",,,"2015-10-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.93304599176096 40.828226230004645, -73.93294856016473 40.828233600681116))","240638.0","3037.0","NA","Current","2","MACOMBS DAM BR","BRONX BOROUGH BOUNDARY","E 161 ST","OFF","L","L","2","0","Link","Link",,,"2002-06-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.76855031902096 40.737654258445666, -73.76845796855429 40.73769036338668))","180646.0","2606.0","NA","Retired","4","73 AVE","210 ST","199 ST","ON","III","III","2","2","Signed Route","Signed Route",,,"1900-01-01T00:00:00.000","2021-10-13T00:00:00.000",,,,,
"MULTILINESTRING ((-73.89124974311294 40.58164351548902, -73.8913000924175 40.58160838414477))","232614.0","1166.0","NA","Current","3","FLATBUSH AV GREENWAY","JAMAICA BAY GREENWAY","MARINE PKWY BR","OFF","I","I","2","2","Protected","Protected",,,"1983-03-01T00:00:00.000",,"Greenway","Jamaica Bay",,"Main Alignment","NPS"
"MULTILINESTRING ((-73.8137258584672 40.69713209444612, -73.81361850843136 40.697136738404666))","151455.0","4428.0",,"Current","4","ATLANTIC AV","VAN WYCK EXPY","VAN WYCK EXPY","ON","III","III","R","1","Shared",,,,"2020-09-02T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.83232100340615 40.85573601721721, -73.8322719238875 40.85576835459642))","236670.0","6610.0","NA","Current","2","PELHAM PKWY GREENWAY","STILLWELL AV","BURR AV","OFF","I","I","2","2","Protected","Protected",,,"1979-05-01T00:00:00.000",,"Greenway","Hutchinson River","Mosholu-Pelham","Main Alignment","DPR"
"MULTILINESTRING ((-73.82666392192081 40.856320900016726, -73.8265037347234 40.856338215236065))","236716.0","6518.0","NA","Current","2","PELHAM PKWY GREENWAY","BRUCKNER BLVD","BRUCKNER BLVD","OFF","I","I","2","2","Protected","Protected",,,"1979-05-01T00:00:00.000",,"Greenway","Hutchinson River","Mosholu-Pelham","Main Alignment","DPR"
"MULTILINESTRING ((-73.82612994579705 40.85638023950909, -73.82608916238215 40.85637993670694, -73.826048500664 40.85637754313037, -73.82600814326156 40.85637306986088, -73.82596827633047 40.85636653608988, -73.8259290824352 40.85635797361057, -73.82589073819342 40.85634742051087, -73.8258534213826 40.85633492478602, -73.82532408557336 40.85609157600995))","236726.0","6518.0","NA","Current","2","PELHAM PKWY GREENWAY","BRUCKNER BLVD","BRUCKNER BLVD","OFF","I","I","2","2","Protected","Protected",,,"1979-05-01T00:00:00.000",,"Greenway","Hutchinson River","Mosholu-Pelham","Main Alignment","DPR"
"MULTILINESTRING ((-74.01982886071443 40.62916817809008, -74.01995754839986 40.628837818211075))","17296.0","951.0","NA","Current","3","6 AVENUE","67 ST","FT HAMILTON PKWY","ON","III","III","2","2","Shared","Shared",,,"2015-06-29T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.0188945852703 40.70696624267436, -74.01850166689033 40.706873734838055))","18067.0","106.0","NA","Current","1","BATTERY PARK CITY GREENWAY","HUDSON RIVER GREENWAY","HUDSON RIVER GREENWAY","OFF","I","I","2","2","Protected","Protected",,,"1996-01-01T00:00:00.000",,"Greenway","Manhattan Waterfront",,"Main Alignment","BPCA"
"MULTILINESTRING ((-73.8790240552655 40.56295898917789, -73.87994038695861 40.56267497913235))","119779.0","1870.0","NA","Current","4","JACOB RIIS BOARDWALK","BEACH 169 ST","ROCKAWAY BEACH BLVD","OFF","I","I","2","2","Boardwalk","Boardwalk",,,"1932-01-01T00:00:00.000",,"Greenway","Jamaica Bay",,"Main Alignment","NPS"
"MULTILINESTRING ((-73.88208660456613 40.568598090401615, -73.8820415345655 40.56852260168515, -73.88204001326454 40.56852010566663, -73.88203850850563 40.568517604261956, -73.88203702028879 40.568515097471064, -73.88203554979646 40.56851258439472, -73.88203409584781 40.5685100650316, -73.88203266080303 40.56850754028476, -73.88203124111939 40.56850501015054))","235385.0","3020.0","NA","Current","4","MARINE PKWY GIL HODGES BR","BK QN BOUNDARY","BEACH CHANNEL DR","OFF","L","L","2","0","Link","Link",,,"1983-01-01T00:00:00.000",,"Greenway","Jamaica Bay",,"Main Alignment","MTA"
"MULTILINESTRING ((-73.93455528203424 40.81082834913029, -73.93449736937782 40.81104597107146, -73.93443125318737 40.81124236447842, -73.93438174482537 40.811430307118435))","239711.0","8182.0","NA","Current","1","HARLEM RIVER DR GREENWAY","E 133 ST","W 145 ST","OFF","I","I","2","2","Protected","Protected",,,"2002-09-01T00:00:00.000",,"Greenway","Manhattan Waterfront",,"Main Alignment","DPR"
"MULTILINESTRING ((-73.83757523827366 40.81584537248803, -73.8375753475598 40.815846245224904, -73.83769249315817 40.81603344190708))","297455.0","6632.0","NA","Current","2","FERRY POINT PARK GREENWAY","SCHLEY AV","FERRY POINT PARK GREENWAY","OFF","I","I","R","1","Protected",,,,"2007-12-01T00:00:00.000",,"Greenway","Hutchinson River",,"Main Alignment","DPR"
"MULTILINESTRING ((-73.94931295638114 40.836602384303696, -73.9492490277306 40.83666426874849))","238593.0","367.0","NA","Current","1","FT WASHINGTON PARK BICYCLE TRAIL","W 145 ST","W 181 ST","OFF","I","I","2","2","Protected","Protected",,,"1999-07-01T00:00:00.000",,"Greenway","Manhattan Waterfront",,"Main Alignment","DPR"
"MULTILINESTRING ((-73.93458123838597 40.81067686500136, -73.93455528203424 40.81082834913029))","239765.0","8182.0","NA","Current","1","HARLEM RIVER DR GREENWAY","E 133 ST","W 145 ST","OFF","I","I","2","2","Protected","Protected",,,"2002-09-01T00:00:00.000",,"Greenway","Manhattan Waterfront",,"Main Alignment","DPR"
"MULTILINESTRING ((-73.9016792962261 40.74097046645867, -73.90108867897987 40.74091085140259))","144353.0","2155.0","NA","Current","4","QUEENS BLVD","50 ST","73 ST","ON","I","I","R","1","Protected",,,,"2015-10-09T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.83092105008139 40.714442997172895, -73.83087194040903 40.71441321714239))","151887.0","7064.0","4317","Current","4","QUEENS BL","UNION TPK","UNION TPK","OFF","I","I","2","3","Sidewalk","Sidewalk",,"Protected","2023-12-21T00:00:00.000",,"Greenway","Central Queens",,"Main Alignment","NYCDOT"
"MULTILINESTRING ((-73.83092105008139 40.714442997172895, -73.83087194040903 40.71441321714239))","151887.0","4317.0","NA","Retired","4","QUEENS BL","UNION TPK","72 AV","ON","I","I","L","1",,"Protected",,,"2021-11-17T00:00:00.000","2023-12-21T00:00:00.000","Greenway",,,,"NYCDOT"
"MULTILINESTRING ((-74.00055551052688 40.58096292155978, -74.00070567763196 40.58106184328566))","151898.0","2419.0","NA","Current","3","BAYVIEW AVE","W 33 ST","NEPTUNE AVE","ON","III","III","L","1",,"Wide Parking Lane",,,"2017-07-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.95025479451768 40.74639975356692, -73.95047549259472 40.74570858377351))","155676.0","7069.0","2640","Current","4","11 St","47 AV","45 AV","ON","I","I","L","1",,"Protected",,,"2023-11-21T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.90048699089368 40.856170630175285, -73.90029794914774 40.85646727788807))","148210.0","7008.0","760","Current","2","GRAND CONCOURSE","E 176 ST","E FORDHAM RD","ON","I","I","R","1","Protected",,,,"2023-06-20T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.91085064353446 40.84508769927368, -73.91080579449537 40.84513352580644))","134470.0","7006.0","760","Current","2","GRAND CONCOURSE","E 170 ST","E 176 ST","ON","II","II","R","1","Conventional",,,,"2009-05-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.73515582555034 40.72731164439391, -73.73489257365473 40.72662613451797))","100787.0","6550.0","NA","Current","4","222 ST","92 AV","BRADDOCK AV","ON","II","II","2","2","Conventional","Conventional",,,"2002-06-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.12056862484859 40.626988699996204, -74.12012888054018 40.626536153393985))","12431.0","2108.0","NA","Current","5","CLOVE ROAD","FOREST AVE","CLOVE WAY","ON","II","II","2","2","Conventional","Conventional",,,"2015-09-11T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.10105235425708 40.57916901535084, -74.10167004248882 40.578623788034214))","11719.0","2043.0","NA","Current","5","HYLAN BLVD","MIDLAND AV","JEFFERSON AV","ON","III","III","L","1",,"Signed Route",,,"2009-06-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.99436069421061 40.71230834263087, -73.99426516494997 40.71159305416792))","23946.0","2819.0","NA","Current","1","MARKET ST","CHERRY ST","E BROADWAY","ON","II","II","L","1",,"Conventional",,,"2019-08-09T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.24992754986717 40.50087622728695, -74.24968956587347 40.50056347052719))","53.0","2030.0","NA","Current","5","CONFERENCE HOUSE PARK GREENWAY","HYLAN BLVD","SWINNERTON ST","OFF","I","I","2","2","Protected","Protected",,,"2005-06-01T00:00:00.000",,"Greenway","Staten Island Waterfront",,"Conference House Park","DPR"
